Marque/Modèle,Année,Kilométrage,Etat,Prix
Renault Espace 5,2020,122 819 km,Occasion,22 499 €
Citroën C1,2020,6 040 km,Occasion,12 999 €
Ford Focus SW,2023,19 556 km,Occasion,25 399 €
Nissan Leaf,2020,68 027 km,Occasion,13 799 €
MG EHS,2023,47 363 km,Occasion,23 099 €
Mini Clubman,2016,95 580 km,Occasion,15 499 €
Volkswagen ID.5,2022,30 587 km,Occasion,36 599 €
Volkswagen Up,2017,24 299 km,Occasion,10 499 €
Kia Xceed,2023,10 046 km,Occasion,24 499 €
Dacia Lodgy,2018,144 260 km,Occasion,9 599 €
Fiat Panda,2022,68 132 km,Occasion,9 999 €
Volvo XC40,2020,62 928 km,Occasion,24 599 €
Kia Ceed,2024,15 694 km,Occasion,19 499 €
Toyota CAMRY,2023,21 940 km,Occasion,34 499 €
Mercedes CLA,2020,38 378 km,Occasion,31 499 €
Lexus UX,2021,38 539 km,Occasion,24 999 €
Mitsubishi ECLIPSE CROSS,2022,61 075 km,Occasion,23 999 €
Mini Countryman,2023,9 985 km,Occasion,32 899 €
Ford Ecosport,2018,79 146 km,Occasion,12 699 €
Skoda Octavia Combi,2023,30 941 km,Occasion,29 999 €
Opel INSIGNIA GRAND SPORT,2021,75 880 km,Occasion,17 799 €
BMW Série 4 Coupé,2017,58 658 km,Occasion,21 999 €
Mercedes CLA Shooting Brake,2023,13 690 km,Occasion,39 499 €
Volkswagen Passat SW,2019,35 263 km,Occasion,25 399 €
Skoda Superb,2023,12 827 km,Occasion,34 999 €
Citroën Grand C4 Picasso,2016,82 960 km,Occasion,11 999 €
Hyundai Ioniq,2020,42 566 km,Occasion,19 799 €
Smart Fortwo Coupé,2020,27 463 km,Occasion,14 499 €
Kia Rio,2022,16 827 km,Occasion,14 499 €
Kia EV6,2023,10 893 km,Occasion,38 999 €
BMW I3,2020,89 870 km,Occasion,15 299 €
Mazda CX-5,2018,75 830 km,Occasion,19 299 €
Hyundai i30,2023,12 330 km,Occasion,25 999 €
Audi A5 Sportback,2022,17 160 km,Occasion,35 399 €
Opel Mokka X,2018,25 117 km,Occasion,14 999 €
Dacia Logan MCV,2020,39 970 km,Occasion,14 199 €
Audi Q5,2020,101 834 km,Occasion,34 099 €
Volvo XC60,2022,65 610 km,Occasion,36 999 €
BMW Série 3,2021,25 033 km,Occasion,31 099 €
Ford KA+,2019,29 867 km,Occasion,11 999 €
Skoda Octavia,2023,19 754 km,Occasion,27 999 €
Skoda Fabia Combi,2018,67 658 km,Occasion,13 199 €
Renault Koleos,2019,85 417 km,Occasion,19 999 €
Volkswagen Tiguan Allspace,2018,91 563 km,Occasion,22 499 €
Skoda Scala,2022,14 920 km,Occasion,20 999 €
Mazda CX-30,2024,8 039 km,Occasion,30 999 €
Audi A3 Berline,2022,58 828 km,Occasion,22 699 €
Volvo V60,2020,99 342 km,Occasion,21 999 €
Citroën E-BERLINGO,2023,15 km,Occasion,24 999 €
Mini Mini countryman,2020,67 211 km,Occasion,25 999 €
BMW X4,2019,54 837 km,Occasion,38 699 €
Volkswagen Golf 8 SW,2021,77 952 km,Occasion,28 599 €
BMW Série 2 Gran Tourer,2021,82 673 km,Occasion,20 999 €
Volkswagen Golf 7 SW,2020,72 145 km,Occasion,17 299 €
Hyundai Ioniq 5,2022,52 000 km,Occasion,33 499 €
Lexus CT,2017,69 348 km,Occasion,16 799 €
BMW Série 3 Touring,2021,36 555 km,Occasion,37 499 €
Volkswagen Arteon Shooting Brake,2023,29 024 km,Occasion,36 999 €
Mazda CX-3,2018,70 627 km,Occasion,15 999 €
Mercedes GLC,2021,66 891 km,Occasion,37 999 €
Opel Karl,2018,92 780 km,Occasion,9 499 €
Renault Clio,2022,27 926 km,Occasion,15 999 €
Peugeot Partner Fourgon,2022,62 552 km,Occasion,16 499 €
Kia ProCeed,2024,5 380 km,Occasion,28 999 €
Mercedes Classe C Break,2019,91 515 km,Occasion,24 999 €
Audi A6 Avant,2020,133 331 km,Occasion,26 499 €
Hyundai Santa Fe,2022,92 139 km,Occasion,36 999 €
Smart FORTWO,2018,30 422 km,Occasion,12 299 €
Kia Cee'd,2016,91 893 km,Occasion,11 999 €
Smart Fortwo EQ,2020,31 702 km,Occasion,11 299 €
Mercedes GLB,2020,84 408 km,Occasion,30 999 €
Ford B-Max,2016,74 009 km,Occasion,10 999 €
Alfa Romeo Giulia,2020,49 621 km,Occasion,39 099 €
Lexus NX 300h,2018,115 440 km,Occasion,24 499 €
Jaguar E-Pace,2019,91 754 km,Occasion,21 999 €
Mercedes Classe E,2016,96 738 km,Occasion,29 999 €
Peugeot 208 ELECTRIQUE,2021,30 277 km,Occasion,18 999 €
Suzuki Ignis,2018,45 635 km,Occasion,12 399 €
Renault Talisman Estate,2022,61 472 km,Occasion,21 999 €
Mercedes Classe C,2022,45 209 km,Occasion,33 999 €
Audi A1,2017,22 217 km,Occasion,16 499 €
Volvo XC90,2016,114 375 km,Occasion,29 499 €
Renault Talisman,2017,99 875 km,Occasion,12 699 €
Peugeot 208,2023,5 703 km,Occasion,17 399 €
Citroën C3 Aircross,2018,54 929 km,Occasion,10 799 €
Volkswagen Golf 8,2023,15 885 km,Occasion,37 799 €
Fiat 500,2022,11 467 km,Occasion,13 799 €
Opel Corsa,2023,12 775 km,Occasion,15 699 €
DS DS4,2023,19 240 km,Occasion,34 999 €
Peugeot 508,2018,22 961 km,Occasion,18 999 €
Ford Focus,2019,81 050 km,Occasion,17 499 €
Hyundai i20,2018,65 135 km,Occasion,11 499 €
Volkswagen Touran,2024,9 000 km,Occasion,38 499 €
Opel Astra Sports Tourer,2020,45 904 km,Occasion,16 299 €
Peugeot Expert Fourgon,2023,22 693 km,Occasion,21 999 €
Fiat Tipo SW,2020,104 073 km,Occasion,11 899 €
Renault Master Fourgon,2023,10 km,Occasion,33 699 €
