Marque,Modèle,Année,Kilométrage,Etat,Prix
Toyota,Yaris,2019,99053.0,Occasion,14999.0
Citroën,C4 Cactus,2019,9630.0,Occasion,12999.0
DS,DS3 Crossback,2020,74887.0,Occasion,16699.0
Toyota,Corolla,2022,61695.0,Occasion,20999.0
Citroën,Berlingo,2019,60265.0,Occasion,15999.0
Dacia,SPRING,2021,9635.0,Occasion,11299.0
Volkswagen,Golf 7,2019,81250.0,Occasion,18999.0
Opel,Crossland,2021,49955.0,Occasion,15399.0
Audi,A1 Sportback,2018,116965.0,Occasion,13999.0
Mini,Mini,2023,13013.0,Occasion,24999.0
BMW,X1,2023,22622.0,Occasion,44499.0
Jeep,Renegade,2021,36619.0,Occasion,16799.0
Ford,Kuga,2021,47800.0,Occasion,23499.0
Toyota,Aygo X,2023,8262.0,Occasion,15999.0
Renault,Grand Scénic 4,2017,123480.0,Occasion,15999.0
Kia,Niro,2018,68177.0,Occasion,16799.0
Opel,GRANDLAND,2023,12.0,Occasion,27999.0
Audi,Q2,2020,115103.0,Occasion,19299.0
Tesla,MODEL Y,2024,3778.0,Occasion,37999.0
DS,DS3,2023,16920.0,Occasion,22999.0
Fiat,500C,2022,24306.0,Occasion,21499.0
BMW,Série 2 Active Tourer,2019,17641.0,Occasion,23699.0
Renault,Scénic 4,2018,99051.0,Occasion,13999.0
Ford,Fiesta,2018,44752.0,Occasion,12799.0
Citroën,GRAND C4 SPACETOURER,2022,23691.0,Occasion,25999.0
Peugeot,108,2019,30952.0,Occasion,10299.0
BYD,Atto 3,2022,339.0,Occasion,29899.0
Skoda,Karoq,2023,8450.0,Occasion,31499.0
Kia,Picanto,2021,21785.0,Occasion,11999.0
Lynk&Co,01,2022,64800.0,Occasion,22499.0
Peugeot,508 SW,2022,70.0,Occasion,34099.0
Audi,Q3,2019,69845.0,Occasion,28999.0
Fiat,Tipo,2017,97490.0,Occasion,12499.0
Opel,Grandland X,2018,98458.0,Occasion,13499.0
Citroën,C4 SPACETOURER,2019,45618.0,Occasion,20799.0
Nissan,Micra,2021,34125.0,Occasion,11999.0
Land,Rover Range Rover Evoque,2019,75834.0,Occasion,29499.0
Opel,Astra,2023,8.0,Occasion,24999.0
Peugeot,RIFTER,2020,52862.0,Occasion,24999.0
BMW,X3,2023,25986.0,Occasion,53399.0
Cupra,Leon,2021,28176.0,Occasion,25899.0
BMW,X2,2021,52211.0,Occasion,27099.0
Renault,Mégane 5,2022,18013.0,Occasion,29699.0
Audi,A4 Avant,2023,22092.0,Occasion,36499.0
Hyundai,BAYON,2022,13374.0,Occasion,16799.0
Mercedes,GLA,2015,124533.0,Occasion,17499.0
Jeep,Compass,2018,98131.0,Occasion,15999.0
Suzuki,VITARA,2021,18170.0,Occasion,18999.0
Kia,Stonic,2022,10723.0,Occasion,17499.0
Seat,Ateca,2018,106912.0,Occasion,16999.0
Citroën,C4 Picasso,2017,129450.0,Occasion,9999.0
Renault,Mégane 4 Estate,2017,123253.0,Occasion,11499.0
Skoda,Fabia,2023,42706.0,Occasion,21999.0
Toyota,Aygo,2021,37208.0,Occasion,12999.0
Renault,Espace 5,2020,122819.0,Occasion,22499.0
Citroën,C1,2020,6040.0,Occasion,12999.0
Ford,Focus SW,2023,19556.0,Occasion,25399.0
Nissan,Leaf,2020,68027.0,Occasion,13799.0
MG,EHS,2023,47363.0,Occasion,23099.0
Mini,Clubman,2016,95580.0,Occasion,15499.0
Volkswagen,ID.5,2022,30587.0,Occasion,36599.0
Volkswagen,Up,2017,24299.0,Occasion,10499.0
Kia,Xceed,2023,10046.0,Occasion,24499.0
Dacia,Lodgy,2018,144260.0,Occasion,9599.0
Fiat,Panda,2022,68132.0,Occasion,9999.0
Volvo,XC40,2020,62928.0,Occasion,24599.0
Kia,Ceed,2024,15694.0,Occasion,19499.0
Toyota,CAMRY,2023,21940.0,Occasion,34499.0
Mercedes,CLA,2020,38378.0,Occasion,31499.0
Lexus,UX,2021,38539.0,Occasion,24999.0
Mitsubishi,ECLIPSE CROSS,2022,61075.0,Occasion,23999.0
Mini,Countryman,2023,9985.0,Occasion,32899.0
Ford,Ecosport,2018,79146.0,Occasion,12699.0
Skoda,Octavia Combi,2023,30941.0,Occasion,29999.0
Opel,INSIGNIA GRAND SPORT,2021,75880.0,Occasion,17799.0
BMW,Série 4 Coupé,2017,58658.0,Occasion,21999.0
Mercedes,CLA Shooting Brake,2023,13690.0,Occasion,39499.0
Volkswagen,Passat SW,2019,35263.0,Occasion,25399.0
Skoda,Superb,2023,12827.0,Occasion,34999.0
Citroën,Grand C4 Picasso,2016,82960.0,Occasion,11999.0
Hyundai,Ioniq,2020,42566.0,Occasion,19799.0
Smart,Fortwo Coupé,2020,27463.0,Occasion,14499.0
Kia,Rio,2022,16827.0,Occasion,14499.0
